# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e-04
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
489000          	2.09642515e+01	1.04693687e+01	1.04948827e+01	2.55140082e-01	-4.48597311e+00	4.74111319e+00	-4.61354315e+00	-1.27570041e-02	1.04821257e+00	7.91053181e-18	1.04821257e+00	-1.04821257e+00
490000          	2.11892303e+01	1.06687877e+01	1.05204426e+01	-1.48345108e+00	-1.42507700e+00	-5.83740774e-02	-6.83351461e-01	7.41725538e-02	1.05946151e+00	1.25636099e-17	1.05946151e+00	-1.05946151e+00
491000          	2.38455222e+01	1.19107213e+01	1.19348009e+01	2.40795406e-01	-4.19225774e+00	4.43305314e+00	-4.31265544e+00	-1.20397703e-02	1.19227611e+00	1.26686641e-17	1.19227611e+00	-1.19227611e+00
492000          	1.86823064e+01	9.41759532e+00	9.26471104e+00	-1.52884277e+00	1.41022947e+01	-1.56311375e+01	1.48667161e+01	7.64421384e-02	9.34115318e-01	9.77360265e-18	9.34115318e-01	-9.34115318e-01
493000          	2.31565264e+01	1.15352251e+01	1.16213012e+01	8.60760809e-01	1.19707393e+00	-3.36313121e-01	7.66693525e-01	-4.30380404e-02	1.15782632e+00	5.85494083e-18	1.15782632e+00	-1.15782632e+00
494000          	2.18324092e+01	1.09188774e+01	1.09135318e+01	-5.34559365e-02	-1.79995584e+00	1.74649990e+00	-1.77322787e+00	2.67279682e-03	1.09162046e+00	7.11000180e-18	1.09162046e+00	-1.09162046e+00
495000          	2.03065582e+01	1.01188195e+01	1.01877387e+01	6.89191913e-01	-1.38377407e+01	1.45269326e+01	-1.41823367e+01	-3.44595957e-02	1.01532791e+00	1.23926678e-17	1.01532791e+00	-1.01532791e+00
496000          	2.41202167e+01	1.20517326e+01	1.20684841e+01	1.67514464e-01	-3.64982455e+00	3.81733901e+00	-3.73358178e+00	-8.37572318e-03	1.20601084e+00	1.31267901e-17	1.20601084e+00	-1.20601084e+00
497000          	1.91506314e+01	9.57966116e+00	9.57097027e+00	-8.69089391e-02	4.99359632e+00	-5.08050526e+00	5.03705079e+00	4.34544695e-03	9.57531571e-01	9.61030723e-18	9.57531571e-01	-9.57531571e-01
498000          	2.24685907e+01	1.12092441e+01	1.12593466e+01	5.01025785e-01	4.88939633e+00	-4.38837055e+00	4.63888344e+00	-2.50512892e-02	1.12342954e+00	6.20347487e-18	1.12342954e+00	-1.12342954e+00
499000          	2.25089233e+01	1.12552758e+01	1.12536475e+01	-1.62827232e-02	-6.69809439e-01	6.53526716e-01	-6.61668077e-01	8.14136158e-04	1.12544617e+00	6.61234383e-18	1.12544617e+00	-1.12544617e+00
500000          	1.96036644e+01	9.77144773e+00	9.83221664e+00	6.07689058e-01	-1.39784349e+01	1.45861239e+01	-1.42822794e+01	-3.03844529e-02	9.80183219e-01	1.21612344e-17	9.80183219e-01	-9.80183219e-01
